  Price Date  ,  Issuer  ,  Ticker  ,  Industry  ,  Bookrunner(S)  ,  Exchange  ,  Amt+ Over. ($MM)  ,  Offer Price ($)  ,  Price Vs. Last Range  ,
09/22/2020,Bentley Systems| Incorporated,BSY,Technology,GS| BAML| RBC,NASDAQ,236|500|000,22,Above,
09/16/2020,Broadstone Net Lease| Inc.,BNL,REIT,JPM| GS| BMO| MS| CAPONE| BBT,New York Stock Exchange,569|500|000,17,Within,
09/22/2020,Corsair Gaming| Inc.,CRSR,Technology,GS| BRCLY| CS| MACQUARIE| RBAIRD| COWEN| STFL,NASDAQ,238|000|000,17,Within,
09/16/2020,Reynolds Group Holdings Limited,PTVE,Industrials,CS| CITI| BAML| GS| RBAIRD| BMO| DB| HSBC| RBC,NASDAQ,574|364|000,14,Below,
09/16/2020,Sumo Logic| Inc.,SUMO,Technology,MS| JPM| RBC| JEFFER,NASDAQ,325|600|000,22,Above,
09/17/2020,Unity Software Inc.,U ,Technology,GS| CS| BAML| BRCLY| WBLAIR,New York Stock Exchange,1|300|000|000,52,Above,
09/15/2020,Jfrog LTD,FROG,Technology,MS| JPM| BAML,NASDAQ,585|351|800,44,Above,
09/17/2020,Vitru Limited,VTRU,Consumer Services,GS| BAML| ITAU| MS| BANCOBRA| BTGPAC| CS| SANTANDER| XPSEC,NASDAQ,96|000|000,16,Within,
09/15/2020,Snowflake Inc.,SNOW,Technology,GS| MS| JPM| ALLEN| CITI| CS| BRCLY| DB| MIZUHO| BBT,New York Stock Exchange,3|360|000|000,120,Above,
09/15/2020,Metacrine| Inc.,MTCR,Healthcare,JEFFER| EVERCORE| RBC,NASDAQ,85|020|000,13,Within,
09/16/2020,Amwell,AMWL,Healthcare,MS| GS| PIPERSAND| UBS| CS| COWEN| BERENBK,New York Stock Exchange,853|299|990,18,Above,
09/15/2020,StepStone Group Inc.,STEP,Financials,JPM| GS| MS| BRCLY| UBS,NASDAQ,315|000|000,18,Above,
09/16/2020,Dyne Therapeutics| Inc.,DYN,Healthcare,JPM| JEFFER| PIPERSAND| STFL,NASDAQ,267|696|966,19,Above,
09/17/2020,Athira Pharma| Inc.,ATHA,Healthcare,GS| JEFFER| STFL,NASDAQ,204|000|000,17,Within,
09/17/2020,COMPASS RX| LTS,CMPS,Healthcare,COWEN| EVERCORE| BERENBK,NASDAQ,127|500|000,17,Above,
09/22/2020,Laird Superfood| Inc.,LSF,Consumer Services,CANACC| CRAIGHAL,NYSE American Exchange,58|300|000,22,Within,
